Code,Barcode,Omschrijving,Aantal
"14102,0702633141029,""Plantenstaak 8 mm"",50"
"14103,0702633141036,""Plantenstaak 11 mm"",50"
"14104,0702633141043,""Plantenstaak 11 mm"",50"
"14105,0702633141050,""Plantenstaak 16 mm"",25"
"14106,0702633141067,""Plantenstaak 16 mm"",25"
"14130,0702633141302,""Connector Plantstaken - 11mm - 3st"",10"
"14131,0702633141319,""Connector Plantstaken - 16mm - 3st"",10"
"14132,0702633141326,""Koppelclip, draaibaar / 3 stuks"",10"
"14133,0702633141333,""Koppelclip, draaibaar / 3 stuks"",10"
"14135,0702633141357,""Koppelstukje moestuin / 4 stuks"",10"
"14150,0702633141500,""Rubber plantenbinder / 10 stuks"",10"
